"{""_id"":{""$oid"":""5e6d129a3d1e562006d92937""}","original_text:""Free to use! #fortnitethumbnails #fortnitethumbnail #fortnite3dthumbnail #fortnitegfx #fortniteart #fortnite #fortniteclips #fortnitebr #fortniteme #fortnitedance #fortniteps4 #fortnitebattleroyale #fortnitesniping #likeforlikes #love #art #gfx #fortnitegameplay #Blender3D https://t.co/nnSsxHR8Eh""","label:""happy""","process_text:""Free to use fortnitethumbnails fortnitethumbnail fortnite3dthumbnail fortnitegfx fortniteart fortnite fortniteclips fortnitebr fortniteme fortnitedance fortniteps4 fortnitebattleroyale fortnitesniping likeforlikes love art gfx fortnitegameplay Blender3D""}",,,,,,,,,
"{""_id"":{""$oid"":""5e6d129a3d1e562006d92938""}","original_text:""@GirlsGeneration TAEYEON Digital Single \""HAPPY\"" Image Teaser\n\nhttps://t.co/AMfzDc1WjP\nhttps://t.co/Vfnw8gVvb3\nhttps://t.co/b0xFXCcOEs\nhttps://t.co/TcRHKCbAoW\n\nHQ\nhttps://t.co/Q2p4Sy3M3d\nhttps://t.co/M8uU6pL0BB\nhttps://t.co/7YQrJ74O0O\nhttps://t.co/oPGmwWmqE9\n\n#Happy #Taeyeon #태연 #소녀시대 https://t.co/7V6TGt6EJ8""","label:""happy""","process_text:""TAEYEON Digital Single HAPPY Image Teaser HQ Happy Taeyeon""}",,,,,,,,,
"{""_id"":{""$oid"":""5e6d129d3d1e562006d9293b""}","original_text:""Always #BeThankful sometime the #Inhumanity turns into #blessing have #faith God always helps"," \n#SundayMotivation #SundayThoughts #joy #JoyTrain #SuccessTRAIN \n@KariJoys @gary_hensel @Sunita_Says_ @ahmednkhan @kalimullah2 \nNever lose #hope #selfreliance \nPeace 🌿 and  🥀 love https://t.co/H8D5zCaIH8""","label:""happy""","process_text:""Always BeThankful sometime the Inhumanity turns into blessing have faith God always helps SundayMotivation SundayThoughts joy JoyTrain SuccessTRAIN hensel Says Never lose hope selfreliance Peace and love""}",,,,,,,,
"{""_id"":{""$oid"":""5e6d129e3d1e562006d9293c""}","original_text:""You deserve hugs 🤗❤️                #365newhugs 🤗❤️                      #JoyTrain #Joy #SuccessTRAIN #FamilyTrain #GoldenHearts        #TuesdayThoughts #IAM #love https://t.co/zozlHYMGyx""","label:""happy""","process_text:""You deserve hugs 365newhugs JoyTrain Joy SuccessTRAIN FamilyTrain GoldenHearts TuesdayThoughts IAM love""}",,,,,,,,,
"{""_id"":{""$oid"":""5e6d129f3d1e562006d9293d""}","original_text:""@Cynthia55678360 @BarbaraLoraineN @Muhamma53074277 @LisaTruthJohns @rpskataria @mukulnandi1972 @1228erin @melanie_korach @PoloOrtiz9 @BabyGo2014 @malvenkaseke1 @LUTLjerry @ReikiArthur @PrachiMalik @Dianne__LadyD @b_and_s_designs @roamingpiscean @JanetNestor @Inspireu2Action @janisexton @Gaurav0801 @Hello2U8 @Lisandre_Moreau @Voieinterieure @gede_prama @pkamla1 @cherylcorless41 @GiGiBclub @loveGoldenHeart @alexdomelle @madblack65 @cassiepullman @Fsxdoll @tmotola @mindfulheal @MohdMuzzammilK @KariJoys @Laurettamylove @mscator @joybellabella @gary_hensel @eralbertson @HOLLYJBIRD @coachmekat @Joan_Kappes @sentii2013 @suziday123 @MyPowertalk @1227erin Start everyday with an #attitude of #gratitude \n\n#JesseLewisChooseLoveMovement\n#LightUpTheLove #Love\n#TuesdayThoughts\n#WednesdayWisdom\n#ThursdayThoughts\n#JoyTRAIN #GoldenHearts\n#ChooseLove\n#FamilyTrain\n#StarFishClub\n#IAMChoosingLove https://t.co/vDYmp63c4e""","label:""happy""","process_text:""korach LadyD and s designs Moreau prama hensel Kappes Start everyday with an attitude of gratitude JesseLewisChooseLoveMovement LightUpTheLove Love TuesdayThoughts WednesdayWisdom ThursdayThoughts JoyTRAIN GoldenHearts ChooseLove FamilyTrain StarFishClub IAMChoosingLove""}",,,,,,,,,
"{""_id"":{""$oid"":""5e6d12a03d1e562006d9293e""}","original_text:""there is something of the marvelous in all things nature\n\n〰️ aristotle 〰️\n\n#myphoto #photo #photographer #nature  #NaturePhotography  #mentalhealth #MentalHealthAwareness #gratitude #JOY #JoyTrain #TuesdayMorning #TuesdayThoughts #TuesdayMotivation #InspirationalQuotes https://t.co/HNS8VM5FNU""","label:""happy""","process_text:""there is something of the marvelous in all things nature aristotle myphoto photo photographer nature NaturePhotography mentalhealth MentalHealthAwareness gratitude JOY JoyTrain TuesdayMorning TuesdayThoughts TuesdayMotivation InspirationalQuotes""}",,,,,,,,,
"{""_id"":{""$oid"":""5e6d12a23d1e562006d9293f""}","original_text:""I hate to brag but I have to show off my beautiful boy this Morning 🌞🌴🐾🐺\nWe are up and about already The sun is shining It's beautiful supposed to go into the '80s today Love my Florida 😚🌴🐾🐺🖤\nAnd I love my boy 🐾🐾\n#PawsUp 🐾🐾\n#Paws a four letter word for #Love🐾🐺 https://t.co/L7LbhiP8lX""","label:""happy""","process_text:""I hate to brag but I have to show off my beautiful boy this Morning We are up and about already The sun is shining It s beautiful supposed to go into the 80s today Love my Florida And I love my boy PawsUp Paws a four letter word for Love""}",,,,,,,,,
"{""_id"":{""$oid"":""5e6d12a33d1e562006d92940""}","original_text:""A bit of love can do wonders! Here's to the moments that made us skip a beat! \n\n#Gemini #GeminiSocial #RomanticMashup #Love #Romance https://t.co/rKPO4dxk85""","label:""happy""","process_text:""A bit of love can do wonders Here s to the moments that made us skip a beat Gemini GeminiSocial RomanticMashup Love Romance""}",,,,,,,,,
"{""_id"":{""$oid"":""5e6d12a53d1e562006d92941""}","original_text:""It’s MY BIRTHDAY-So I decided to go out and have my friend @justjimwarren shoot a picture of me. Sitting on a Rolls-Royce reading-(NOTHING GENERAL\n ABOUT IT)😎📖😎\n#happybirthday 2me#family #love�?https://t.co/acUnezoSHH""","label:""happy""","process_text:""It is MY BIRTHDAY So I decided to go out and have my friend shoot a picture of me Sitting on a Rolls Royce reading NOTHING GENERAL ABOUT IT happybirthday 2me family love""}",,,,,,,,,
"{""_id"":{""$oid"":""5e6d12a63d1e562006d92942""}","original_text:""Came home to a treasure trove of gorgeous books. Thank you so much kashihousecic. I cannot wait to dive in and to share with my son the history of his heritage. 🙏🏼\n.\n.\n.\n#books #love #history #heritage #sikh #art�?https://t.co/MHpiMXGdyp""","label:""happy""","process_text:""Came home to a treasure trove of gorgeous books Thank you so much kashihousecic I cannot wait to dive in and to share with my son the history of his heritage books love history heritage sikh art""}",,,,,,,,,
